TraceName, CH1, CH2, CH4, CH6
VUnit, V, A, V, V
HResolution, 0.001
HOffset, -10.009
HUnit, s
BlockSize, 10010
Model, DL850E
Date, 2026-06-30
,0,-0.18333333333333332,-0.050000000000000003,-8.5541666666666671
,0,-0.14999999999999999,-0.016666666666666666,-8.5541666666666671
,0,-0.18333333333333332,0.016666666666666666,-8.5562500000000004
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,0,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,0,-0.14999999999999999,-0.016666666666666666,-8.5270833333333336
,0,-0.18333333333333332,-0.016666666666666666,-8.5500000000000007
,0,-0.18333333333333332,0.016666666666666666,-8.5708333333333329
,0,-0.18333333333333332,0.016666666666666666,-8.5374999999999996
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5500000000000007
,0,-0.14999999999999999,0.016666666666666666,-8.5520833333333339
,0.033333333333333333,-0.21666666666666667,0.016666666666666666,-8.5687499999999996
,0,-0.18333333333333332,0.016666666666666666,-8.53125
,0,-0.18333333333333332,0.016666666666666666,-8.5437499999999993
,0,-0.14999999999999999,-0.016666666666666666,-8.6604166666666664
,0,-0.14999999999999999,0.016666666666666666,-8.5458333333333325
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5437499999999993
,0,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5770833333333325
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5333333333333332
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5541666666666671
,-0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5625
,0,-0.18333333333333332,0.016666666666666666,-8.5354166666666664
,0,-0.18333333333333332,0.016666666666666666,-8.5500000000000007
,0,-0.18333333333333332,-0.016666666666666666,-8.5708333333333329
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5354166666666664
,0,-0.18333333333333332,-0.016666666666666666,-8.5479166666666657
,0,-0.14999999999999999,-0.016666666666666666,-8.6750000000000007
,0,-0.14999999999999999,0.016666666666666666,-8.5437499999999993
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5395833333333329
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5541666666666671
,0,-0.14999999999999999,-0.016666666666666666,-8.5687499999999996
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5354166666666664
,0,-0.18333333333333332,-0.016666666666666666,-8.53125
,0,-0.14999999999999999,0.016666666666666666,-8.5479166666666657
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5583333333333336
,0.033333333333333333,-0.18333333333333332,0.050000000000000003,-8.5270833333333336
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5500000000000007
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5770833333333325
,0,-0.18333333333333332,-0.050000000000000003,-8.4166666666666661
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5479166666666657
,-0.033333333333333333,-0.18333333333333332,0.050000000000000003,-8.5604166666666668
,0,-0.18333333333333332,0.016666666666666666,-8.5645833333333332
,0,-0.18333333333333332,-0.050000000000000003,-8.5708333333333329
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5500000000000007
,-0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5666666666666664
,0,-0.18333333333333332,0.016666666666666666,-8.5395833333333329
,0,-0.18333333333333332,-0.016666666666666666,-8.5500000000000007
,0,-0.18333333333333332,-0.016666666666666666,-8.5687499999999996
,0,-0.21666666666666667,-0.016666666666666666,-8.53125
,0,-0.18333333333333332,-0.050000000000000003,-8.5458333333333325
,-0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5645833333333332
,0,-0.21666666666666667,-0.016666666666666666,-8.5812500000000007
,0,-0.18333333333333332,0.016666666666666666,-8.5479166666666657
,0,-0.14999999999999999,0.016666666666666666,-8.5541666666666671
,0,-0.18333333333333332,0.016666666666666666,-8.5687499999999996
,0,-0.21666666666666667,0.016666666666666666,-8.59375
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5437499999999993
,0,-0.14999999999999999,-0.016666666666666666,-8.5687499999999996
,0,-0.21666666666666667,-0.016666666666666666,-8.5583333333333336
,0,-0.18333333333333332,-0.016666666666666666,-8.5395833333333329
,0,-0.14999999999999999,0.016666666666666666,-8.5520833333333339
,0,-0.18333333333333332,0.016666666666666666,-8.5708333333333329
,0,-0.14999999999999999,-0.016666666666666666,-8.5354166666666664
,0,-0.14999999999999999,-0.016666666666666666,-8.5354166666666664
,0,-0.14999999999999999,-0.016666666666666666,-8.5604166666666668
,0,-0.18333333333333332,-0.016666666666666666,-8.5354166666666664
,0,-0.18333333333333332,-0.016666666666666666,-8.5479166666666657
,0,-0.18333333333333332,0.016666666666666666,-8.5250000000000004
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5666666666666664
,0,-0.18333333333333332,0.016666666666666666,-8.5395833333333329
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5520833333333339
,0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5562500000000004
,0.033333333333333333,-0.14999999999999999,-0.050000000000000003,-8.5270833333333336
,0,-0.21666666666666667,-0.016666666666666666,-8.5479166666666657
,-0.033333333333333333,-0.18333333333333332,-0.050000000000000003,-8.5583333333333336
,0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5437499999999993
,0,-0.14999999999999999,-0.016666666666666666,-8.5479166666666657
,-0.033333333333333333,-0.21666666666666667,-0.016666666666666666,-8.5500000000000007
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5500000000000007
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5437499999999993
,0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5166666666666657
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,0,-0.18333333333333332,-0.016666666666666666,-8.5395833333333329
,-0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5500000000000007
,0,-0.21666666666666667,0.016666666666666666,-8.5625
,0,-0.14999999999999999,0.016666666666666666,-8.5458333333333325
,0,-0.14999999999999999,0.016666666666666666,-8.5437499999999993
,0,-0.21666666666666667,-0.016666666666666666,-8.5583333333333336
,-0.033333333333333333,-0.21666666666666667,0.016666666666666666,-8.5666666666666664
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5354166666666664
,0,-0.18333333333333332,-0.016666666666666666,-8.5479166666666657
,0.033333333333333333,-0.21666666666666667,0.016666666666666666,-8.5666666666666664
,0,-0.14999999999999999,0.016666666666666666,-8.5833333333333339
,0,-0.18333333333333332,0.016666666666666666,-8.5354166666666664
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5541666666666671
,0,-0.14999999999999999,0.016666666666666666,-8.5520833333333339
,0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.53125
,0,-0.18333333333333332,0.016666666666666666,-8.5500000000000007
,0,-0.18333333333333332,0.016666666666666666,-8.5625
,-0.033333333333333333,-0.21666666666666667,-0.016666666666666666,-8.53125
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5479166666666657
,0,-0.18333333333333332,-0.016666666666666666,-8.5479166666666657
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5354166666666664
,-0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5500000000000007
,0,-0.18333333333333332,0.016666666666666666,-8.5041666666666664
,0,-0.18333333333333332,-0.016666666666666666,-8.53125
,0,-0.14999999999999999,-0.016666666666666666,-8.5416666666666661
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5583333333333336
,0,-0.14999999999999999,0.016666666666666666,-8.5250000000000004
,0,-0.21666666666666667,-0.016666666666666666,-8.5479166666666657
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5541666666666671
,0,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,0,-0.18333333333333332,-0.016666666666666666,-8.5374999999999996
,0,-0.14999999999999999,-0.016666666666666666,-8.5500000000000007
,0,-0.18333333333333332,-0.016666666666666666,-8.5666666666666664
,0,-0.14999999999999999,0.016666666666666666,-8.53125
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5437499999999993
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5645833333333332
,0.066666666666666666,-0.14999999999999999,0.050000000000000003,-8.5583333333333336
,0,-0.18333333333333332,0.016666666666666666,-8.5437499999999993
,0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.6083333333333325
,0,-0.18333333333333332,-0.016666666666666666,-8.5729166666666661
,0,-0.18333333333333332,-0.016666666666666666,-8.5354166666666664
,0,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,0,-0.18333333333333332,-0.016666666666666666,-8.5812500000000007
,0,-0.21666666666666667,-0.016666666666666666,-8.53125
,0,-0.14999999999999999,0.016666666666666666,-8.5479166666666657
,-0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5729166666666661
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5291666666666668
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,0,-0.18333333333333332,0.016666666666666666,-8.5645833333333332
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5666666666666664
,0,-0.14999999999999999,0.016666666666666666,-8.5374999999999996
,-0.033333333333333333,-0.21666666666666667,-0.016666666666666666,-8.4333333333333336
,0,-0.21666666666666667,-0.016666666666666666,-8.5645833333333332
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5333333333333332
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5333333333333332
,0,-0.18333333333333332,0.016666666666666666,-8.5458333333333325
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5562500000000004
,0,-0.14999999999999999,0.016666666666666666,-8.5437499999999993
,0,-0.21666666666666667,0.016666666666666666,-8.5500000000000007
,-0.033333333333333333,-0.11666666666666667,0.016666666666666666,-8.5687499999999996
,0,-0.18333333333333332,-0.050000000000000003,-8.5354166666666664
,0,-0.18333333333333332,-0.016666666666666666,-8.5520833333333339
,0,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.53125
,0,-0.18333333333333332,0.016666666666666666,-8.5291666666666668
,0,-0.18333333333333332,0.016666666666666666,-8.5500000000000007
,0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5708333333333329
,0,-0.18333333333333332,-0.016666666666666666,-8.4916666666666671
,0,-0.18333333333333332,0.016666666666666666,-8.5500000000000007
,0,-0.18333333333333332,0.016666666666666666,-8.5645833333333332
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5291666666666668
,0,-0.18333333333333332,-0.016666666666666666,-8.5458333333333325
,0,-0.18333333333333332,0.016666666666666666,-8.5625
,0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5354166666666664
,0,-0.18333333333333332,-0.016666666666666666,-8.53125
,0,-0.18333333333333332,0.016666666666666666,-8.5562500000000004
,-0.050000000000000003,-0.18333333333333332,-0.083333333333333329,-8.5729166666666661
,0,-0.14999999999999999,0.016666666666666666,-8.53125
,0,-0.18333333333333332,0.016666666666666666,-8.5520833333333339
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5729166666666661
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5374999999999996
,0,-0.21666666666666667,-0.016666666666666666,-8.5500000000000007
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5625
,0,-0.14999999999999999,-0.016666666666666666,-8.5541666666666671
,0,-0.14999999999999999,-0.016666666666666666,-8.5354166666666664
,-0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5604166666666668
,0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5583333333333336
,0,-0.14999999999999999,-0.016666666666666666,-8.5374999999999996
,0,-0.21666666666666667,0.016666666666666666,-8.5604166666666668
,0,-0.14999999999999999,-0.016666666666666666,-8.5666666666666664
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5395833333333329
,0,-0.18333333333333332,-0.016666666666666666,-8.5500000000000007
,0,-0.18333333333333332,0.016666666666666666,-8.6458333333333339
,-0.050000000000000003,-0.18333333333333332,-0.050000000000000003,-8.5687499999999996
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5354166666666664
,0,-0.18333333333333332,0.016666666666666666,-8.5541666666666671
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.6041666666666661
,-0.033333333333333333,-0.21666666666666667,-0.016666666666666666,-8.5354166666666664
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5374999999999996
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5500000000000007
,-0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5395833333333329
,0,-0.18333333333333332,0.016666666666666666,-8.5645833333333332
,0,-0.14999999999999999,0.016666666666666666,-8.5500000000000007
,0,-0.14999999999999999,-0.016666666666666666,-8.5729166666666661
,0,-0.18333333333333332,0.016666666666666666,-8.5458333333333325
,0,-0.14999999999999999,-0.016666666666666666,-8.6812500000000004
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5625
,0,-0.18333333333333332,0.016666666666666666,-8.5645833333333332
,0,-0.18333333333333332,-0.016666666666666666,-8.53125
,0,-0.18333333333333332,-0.016666666666666666,-8.5458333333333325
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5833333333333339
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.53125
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5479166666666657
,0.033333333333333333,-0.14999999999999999,0.016666666666666666,-8.5583333333333336
,-0.033333333333333333,-0.21666666666666667,-0.016666666666666666,-8.5479166666666657
,0,-0.18333333333333332,0.050000000000000003,-8.5416666666666661
,0,-0.18333333333333332,-0.016666666666666666,-8.5583333333333336
,0,-0.18333333333333332,-0.016666666666666666,-8.5666666666666664
,0,-0.18333333333333332,0.016666666666666666,-8.5291666666666668
,0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5500000000000007
,0,-0.14999999999999999,0.050000000000000003,-8.6291666666666664
,0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5999999999999996
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5395833333333329
,0,-0.14999999999999999,0.016666666666666666,-8.5645833333333332
,0,-0.18333333333333332,0.016666666666666666,-8.5541666666666671
,0,-0.18333333333333332,0.016666666666666666,-8.5479166666666657
,0,-0.14999999999999999,0.016666666666666666,-8.5708333333333329
,0,-0.18333333333333332,-0.016666666666666666,-8.5812500000000007
,-0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5395833333333329
,0,-0.18333333333333332,-0.016666666666666666,-8.5479166666666657
,0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5479166666666657
,0,-0.18333333333333332,-0.016666666666666666,-8.5416666666666661
,-0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5500000000000007
,0,-0.21666666666666667,0.016666666666666666,-8.5500000000000007
,0,-0.18333333333333332,-0.016666666666666666,-8.5395833333333329
,0,-0.18333333333333332,-0.016666666666666666,-8.5416666666666661
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.5604166666666668
,0,-0.18333333333333332,-0.016666666666666666,-8.5687499999999996
,0,-0.18333333333333332,0.016666666666666666,-8.5270833333333336
,0.033333333333333333,-0.18333333333333332,0.016666666666666666,-8.5541666666666671
,-0.033333333333333333,-0.18333333333333332,-0.016666666666666666,-8.6041666666666661
,0.033333333333333333,-0.14999999999999999,-0.016666666666666666,-8.5374999999999996
,0,-0.18333333333333332,0.016666666666666666,-8.5437499999999993
,0,-0.18333333333333332,-0.016666666666666666,-8.5500000000000007
,0,-0.14999999999999999,-0.016666666666666666,-8.5437499999999993
